id,name,slug,owner_user_id,plan,status,settings,max_users,max_storage_bytes,created_at,updated_at
c0bf7951-b680-422f-850e-ad3bc70e533f,Gateway Org 359213,gatewayorg359213,5f393cbd-35f9-4332-b4ed-3c6ecfc96ca1,starter,active,{},25,10737418240,2026-02-14 09:07:00.643243+00,2026-02-14 09:07:00.643243+00
e101ec85-a8bf-4922-a411-13006ae36b10,Gateway Org 929186,gatewayorg929186,e86c3255-c197-4e6b-906a-d28203202d5d,starter,active,{},25,10737418240,2026-02-14 09:07:38.143772+00,2026-02-14 09:07:38.143772+00
e146c78b-5126-43f1-96c6-01b238297f46,Test Org 1771061673928099434,testorg1771061673928099434,01afbe0b-0257-47f5-85a9-f724105ecd75,free,active,{},5,1073741824,2026-02-14 09:34:34.972362+00,2026-02-14 09:34:34.972362+00
8e252764-dce2-4c93-a3d4-28cc4c1f0361,Test Org 1771061987637701504,testorg1771061987637701504,3855ed14-cd01-42ff-9cdb-0f0ffe68a554,free,active,{},5,1073741824,2026-02-14 09:39:48.557646+00,2026-02-14 09:39:48.557646+00
18f788ce-c47a-49db-b7d9-a9265ec43e70,Test Org 1771062208603672827,testorg1771062208603672827,f3a9e745-4a70-48cd-9362-9824221327b2,free,active,{},5,1073741824,2026-02-14 09:43:29.765194+00,2026-02-14 09:43:29.765194+00
6fb34b40-53fe-4d28-95ce-4f401a5df742,Verify Org 1771062441,verifyorg1771062441,216d49c3-c7cc-4f42-ad31-dbb36a4c26ec,free,active,{},5,1073741824,2026-02-14 09:47:22.703854+00,2026-02-14 09:47:22.703854+00
040281a2-ba33-4430-8d92-bcf67aca6d36,GW Test Org,gwtestorg1771062503058029842,32b1e8e7-35f2-4620-af85-1b83340eb626,starter,active,{},25,10737418240,2026-02-14 09:48:25.145454+00,2026-02-14 09:48:25.145454+00
7f3d8171-62b7-44dc-949c-ea0d9c1e8873,Newman Test Org,newmanorg1771062743569,6d2152ca-27fc-4eb5-ad47-c81e2e7a75e3,starter,active,{},25,10737418240,2026-02-14 09:52:23.577364+00,2026-02-14 09:52:23.577364+00
3b9f1d07-214b-4404-8b55-bf8c28b8784f,Newman Test Org,newmanorg1771062847661,8773ea13-8c09-4ed6-a27a-74889c25d2de,starter,active,{},25,10737418240,2026-02-14 09:54:07.669044+00,2026-02-14 09:54:07.669044+00
697bc792-c8d5-4021-9505-b42b0610ecad,Newman Test Org,newmanorg1771063025090,58cefe51-56e8-41c4-8ad1-9032e3ac05b4,starter,active,{},25,10737418240,2026-02-14 09:57:05.099601+00,2026-02-14 09:57:05.099601+00
